Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,PIB par habitant,Stabilité politique,Population,distance(km),ratio_pro_volailles
Afghanistan,1.53,0.54,57.0,-1.5300000000000011,29.0,2058.4,-2.8,36296.113,5590.381,0.6289517470881864
Afrique du Sud,35.69,14.11,2118.0,63.0,514.0,12701.3,-0.28,57009.756,8692.812,14.72612763915547
Albanie,16.36,6.26,47.0,0.0,38.0,12771.0,0.38,2884.169,1603.534,4.08602510460251
Algérie,6.38,1.97,277.0,0.0,2.0,11737.4,-0.92,41389.189,1340.39,1.7822294022617127
Allemagne,19.47,7.96,1739.0,646.0,842.0,52952.9,0.59,82658.409,880.187,6.654367252810608
Angola,10.56,3.6,319.0,0.0,277.0,7310.9,-0.33,29816.766,6510.322,5.590682196339434
Antigua-et-Barbuda,54.1,17.77,7.0,0.0,7.0,19840.3,0.75,95.426,6708.77,18.832039433148488
Arabie saoudite,43.36,15.57,1435.0,10.0,722.0,47306.2,-0.58,33101.179,4694.5,16.19094960575934
Argentine,42.24,13.53,1962.0,207.0,8.0,23597.1,0.17,43937.14,11072.25,10.807130333138515
Arménie,16.06,5.44,47.0,0.0,35.0,12115.1,-0.62,2944.791,3434.071,4.694955306688586
Australie,47.65,16.6,1171.0,42.0,16.0,48482.6,0.89,24584.62,16938.09,13.06360522173873
Autriche,18.2,7.49,173.0,78.0,110.0,54170.0,1.05,8819.901,1035.144,6.027472019239664
Azerbaïdjan,13.11,4.45,129.0,0.0,27.0,14121.4,-0.75,9845.32,3817.547,4.049837486457205
Bahamas,43.17,14.61,26.0,-35.17,24.0,36298.4,0.99,381.755,7209.45,20.711585465211012
Bangladesh,1.5,0.47,250.0,-2.5,0.0,4160.7,-1.26,159685.424,7916.79,0.7024244437064098
Barbade,46.78,15.33,17.0,0.0,2.0,15789.0,0.97,286.232,6882.34,15.029411764705882
